Team,Time,Event
LSU,37.9,4x100
Florida,37.93,4x100
Texas Tech,38.24,4x100
Clemson,38.69,4x100
Iowa,38.7,4x100
Florida State,38.74,4x100
Tennessee,38.85,4x100
Louisville,38.87,4x100
Minnesota,38.87,4x100
Georgia,38.87,4x100
Texas,38.89,4x100
Houston,39,4x100
Virginia Tech,39.04,4x100
USC,39.05,4x100
Oregon,39.08,4x100
Arizona State,39.11,4x100
Baylor,39.12,4x100
Arizona,39.15,4x100
BYU,39.17,4x100
Texas A&M,39.27,4x100
Alabama State,39.28,4x100
Oklahoma,39.3,4x100
Grand Canyon,39.32,4x100
Miss State,39.34,4x100
Kentucky,39.36,4x100
TAMU-Commerce,39.38,4x100
Campbell,39.4,4x100
Texas State,39.46,4x100
Northwestern St.,39.51,4x100
Little Rock,39.53,4x100
Arkansas,39.55,4x100
UTSA,39.59,4x100
TCU,39.6,4x100
UCLA,39.62,4x100
Northern Iowa,39.62,4x100
Nebraska,39.63,4x100
Incarnate Word,39.65,4x100
CSUN,39.68,4x100
Stanford,39.68,4x100
UTEP,39.68,4x100
Long Beach St.,39.71,4x100
Washington St.,39.73,4x100
Pittsburgh,39.73,4x100
New Orleans,39.75,4x100
Louisiana,39.76,4x100
San Jose St.,39.76,4x100
Indiana State,39.77,4x100
South Florida,39.77,4x100
Northern Arizona,39.86,4x100
Purdue,39.87,4x100
N. Carolina A&T,39.87,4x100
Alabama,39.89,4x100
NC State,39.89,4x100
Cal St. Fullerton,39.92,4x100
South Dakota,39.94,4x100
Rutgers,39.95,4x100
California,39.98,4x100
South Carolina,39.99,4x100
Indiana,39.99,4x100
Illinois State,39.99,4x100
