Athlete Name,Year,Team,Time,Event
"Brooks, Devon",SR-4,Tennessee,13.26,110H
"Beard, Dylan",SR-4,Howard,13.29,110H
"Luff, Darius",JR-3,Nebraska,13.32,110H
"Ojora, Omotade",SR-4,USC,13.35,110H
"Stern, Jahiem",FR-1,Hampton,13.4,110H
"Zeller, Joshua",SR-4,Michigan,13.4,110H
"Wilson, De' Vion",JR-3,Houston,13.41,110H
"Leaston, Justin",JR-3,Charlotte,13.42,110H
"Lemonious, Phillip",JR-3,Arkansas,13.42,110H
"Smith, Jayden",SO-2,Davidson,13.42,110H
"Roberts, Giano",SR-4,Clemson,13.43,110H
"Murray, Cameron",SR-4,NC State,13.43,110H
"Brown, Rasheem",SR-4,Tennessee,13.43,110H
"Dean, Caleb",JR-3,Texas Tech,13.44,110H
"Brackins, Johnny",SO-2,USC,13.44,110H
"Schulman, Connor",JR-3,Texas A&M,13.45,110H
"Andrews, Antoine",FR-1,Texas Tech,13.46,110H
"Hayles, Jaheem",JR-3,Syracuse,13.47,110H
"Eloji, Stephen",SO-2,Mid. Tenn. State,13.47,110H
"Rhea, Sincere",JR-3,Miami (Fla.),13.48,110H
"Akindele, DJ",SR-4,Houston,13.5,110H
"Reed, Gratt",JR-3,Iowa,13.5,110H
"Mustari, Leonard",SO-2,Tennessee,13.51,110H
"Waters, Demaris",FR-1,San Jose St.,13.51,110H
"Rooney, Taylor",SR-4,Texas Tech,13.53,110H
"Henderson, Jesse",SR-4,Tennessee,13.54,110H
"Young, Ahmad",SR-4,Ole Miss,13.54,110H
"Harris, Cameron",SR-4,Air Force,13.56,110H
"Bennett, Samuel",SO-2,Harvard,13.56,110H
"Demsar, Filip",JR-3,South Carolina,13.57,110H
"Smallwood, Kendrick",FR-1,Texas,13.58,110H
"Senior, Brithton",JR-3,Nebraska,13.59,110H
"Sophia, Matthew",FR-1,LSU,13.59,110H
"Exilhomme, Ethan",SO-2,Northeastern,13.6,110H
"Brown, Darius",SO-2,DePaul,13.62,110H
"Williams, Terrel",JR-3,Connecticut,13.63,110H
"Bengtsson, Joel",SR-4,UT-Arlington,13.64,110H
"Woodley, Jordani",SO-2,UTEP,13.64,110H
"Vick, Brahmir",JR-3,Navy,13.64,110H
"Abdullahi, Bashiru",SR-4,UTSA,13.65,110H
"Chisholm, Tayshaun",SR-4,Delaware State,13.65,110H
"January, Jamal",SR-4,Abilene Christian,13.66,110H
"Garland, Kyle",SR-4,Georgia,13.66,110H
"Buchanan, Michael",SO-2,Minnesota,13.69,110H
"Byrd, Jermanie",SR-4,Howard,13.69,110H
"Uballe , Matthew",JR-3,Cal St. Fullerton,13.71,110H
"Sims, Brevin",SO-2,Arkansas,13.74,110H
"Parks, Josh",SR-4,UNCW,13.75,110H
"Lear, Pierre",JR-3,South Dakota St.,13.75,110H
"Brown, Spencer",SR-4,Ole Miss,13.75,110H
"Glass, Will",JR-3,Arkansas State,13.75,110H
"Graves, Tyler",JR-3,Coastal Carolina,13.75,110H
"Gilchrist, Richard",SR-4,Mount St. Mary's,13.76,110H
"Campbell, Jerome",SO-2,Northern Colorado,13.76,110H
"Williamson, Almighty",JR-3,Eastern Michigan,13.76,110H
"Lewis-Banks, Matthew",SR-4,Arkansas,13.77,110H
"Gilbert, Tre'Bien",SR-4,Arkansas,13.77,110H
"Lopes Ribeiro, Yvan",JR-3,Eastern Michigan,13.77,110H
"Dannis, Bret",SR-4,Illinois,13.78,110H
"Martin, Christian",SR-4,Cornell,13.78,110H
"Williams, Jevon",JR-3,Clemson,13.79,110H
"Conway, Grant",JR-3,Iowa,13.79,110H
"Morvan, Hugo",JR-3,South Dakota,13.79,110H
"Shields, Alex",SR-4,Kent State,13.8,110H
"Davis, Kameron",SR-4,Howard,13.81,110H
"Warmington, David",FR-1,Oklahoma,13.81,110H
"Smith, Oscar",JR-3,Ohio State,13.82,110H
"Moore, Titus",JR-3,Samford,13.83,110H
"Ekporere, Prosper",SO-2,Liberty,13.83,110H
"Williams, Ardonntrell",JR-3,Saint Francis,13.83,110H
"Eddowes, Colby",FR-1,Arkansas State,13.83,110H
"Bennett, Braydon",JR-3,Coastal Carolina,13.84,110H
"Harrold, Daniel",SR-4,Texas State,13.84,110H
"Faircloth, Daiqwaun",SR-4,VCU,13.84,110H
"Bernat, Matheo",SR-4,Incarnate Word,13.85,110H
"Gibson, Garrett",SR-4,Houston Christian,13.85,110H
"Serrao, Christopher",FR-1,Rutgers,13.86,110H
"Douglas, Andre",SR-4,Campbell,13.86,110H
"Green, Jaydon",JR-3,Montana,13.86,110H
"Sumners, Jack",JR-3,Northern Iowa,13.87,110H
"Cox, Zachary",SO-2,Idaho State,13.87,110H
"Bangue, Jorim",FR-1,New Orleans,13.87,110H
"Birade , Carter",FR-1,Cal St. Fullerton,13.88,110H
"McLendon, Sam",SO-2,Tennessee,13.88,110H
"Bates, Di'Niko",SO-2,California,13.88,110H
