Athlete Name,Year,Team,Time,Event
"Messaoudi, Fouad",SO-2,Oklahoma State,03:35.2,1500
"Waskom, Joe",JR-3,Washington,03:35.9,1500
"Hamilton, Duncan",SR-4,Montana State,03:36.7,1500
"Essayi, Anass",SO-2,South Carolina,03:36.9,1500
"Rop, Ezekiel",JR-3,Iowa State,03:36.9,1500
"Basten, Isaac",JR-3,Drake,03:37.0,1500
"Hunt, Jesse",SR-4,North Carolina,03:37.5,1500
"Kipsang, Eliud",JR-3,Alabama,03:37.7,1500
"Spencer, Adam",SO-2,Wisconsin,03:37.7,1500
"Strand, Ethan",FR-1,North Carolina,03:38.1,1500
"Sahlman, Colin",FR-1,Northern Arizona,03:38.3,1500
"Camerieri, Anthony",SR-4,Ole Miss,03:38.3,1500
"Clinger, Casey",JR-3,BYU,03:38.4,1500
"Tewalt, Luke",SO-2,Wake Forest,03:38.5,1500
"Payamps, Matthew",JR-3,Georgetown,03:38.5,1500
"Foster, Nick",SR-4,Michigan,03:38.8,1500
"Corrigan, James",FR-1,BYU,03:38.9,1500
"Schreml, Elias",SO-2,Arkansas,03:39.1,1500
"Johnson, Caleb",FR-1,BYU,03:39.1,1500
"Strangio, Matt",SO-2,Portland,03:39.2,1500
"Dahl, Nick",SR-4,Duke,03:39.3,1500
"McMahon-Staggs, Ronan",SO-2,UCLA,03:39.3,1500
"Gomez, Cruz",JR-3,Texas,03:39.3,1500
"Quax, Theo",JR-3,Northern Arizona,03:39.4,1500
"Rizzo, Matthew",SO-2,Georgetown,03:39.4,1500
"Gilmore, Camden",JR-3,Georgetown,03:39.4,1500
"Houser, Luke",JR-3,Washington,03:39.4,1500
"Murphy, Liam",SO-2,Villanova,03:39.4,1500
"Bove, Davis",JR-3,LSU,03:39.4,1500
"Marshall, Camden",SO-2,Indiana,03:39.5,1500
"Martin, Gary",FR-1,Virginia,03:39.5,1500
"McCarthy, Aidan",SO-2,Cal Poly,03:39.6,1500
"Idhammar, Viktor",SO-2,Virginia Tech,03:39.7,1500
"Maison, Sean",JR-3,Air Force,03:39.7,1500
"Mountain, Nathan",SO-2,Virginia,03:39.7,1500
"Ryan, Aidan",SR-4,Washington,03:39.7,1500
"Murphy, Conor",JR-3,Virginia,03:39.7,1500
"Henz, Vivien",FR-1,Harvard,03:39.8,1500
"Specht, Paul",FR-1,Wake Forest,03:39.9,1500
"Doyle, Cathal",SR-4,Portland,03:40.0,1500
"Wolfe, Parker",SO-2,North Carolina,03:40.0,1500
"Ahl, Aaron",SR-4,Washington,03:40.0,1500
"Gaynor, Gavin",SR-4,NC State,03:40.1,1500
"Malleck, Foster",JR-3,Boston University,03:40.1,1500
"Henderson, Nathan",SR-4,Syracuse,03:40.1,1500
"Bracken, Shane",SR-4,Ole Miss,03:40.1,1500
"Teffra, Abel",SO-2,Georgetown,03:40.2,1500
"Castro, Juan Diego",SO-2,Oklahoma State,03:40.2,1500
"Dorenkamp, Evan",JR-3,Penn State,03:40.3,1500
"Cheruiyot, Hillary",SO-2,Alabama,03:40.3,1500
"Magnusson, Baldvin",SR-4,Eastern Michigan,03:40.4,1500
"Middleton-Pearson, Christopher",JR-3,Oklahoma State,03:40.4,1500
"Hoeft, Eli",JR-3,Minnesota,03:40.4,1500
"Bons, Lucas",SO-2,BYU,03:40.5,1500
"dosReis, Joe",JR-3,Davidson,03:40.5,1500
"Miller, Duncan",JR-3,Princeton,03:40.6,1500
"Sado, Yasin",JR-3,Virginia,03:40.7,1500
"O'Donovan, Charlie",JR-3,Villanova,03:40.7,1500
"Pedroza, Robert",JR-3,North Florida,03:40.7,1500
"Ba, Baidy",SO-2,Kent State,03:40.8,1500
"Ellis, Sam",SO-2,Washington,03:40.8,1500
"Gilman, Sam",SR-4,Air Force,03:40.9,1500
"Perrin, Ben",JR-3,Montana State,03:41.0,1500
"Shields, Jonathan",SR-4,Boise State,03:41.0,1500
"Jha, Arjun",JR-3,Michigan,03:41.1,1500
"Stitt, Alex",SO-2,Oklahoma State,03:41.1,1500
"Wirth, Tyler",JR-3,Cincinnati,03:41.2,1500
"Ludewick, Arlo",SR-4,Virginia Tech,03:41.2,1500
"MacQuiddy, Garrett",JR-3,California,03:41.3,1500
"Franks, Mac",SR-4,North Florida,03:41.3,1500
"Ewing, Joe",FR-1,Harvard,03:41.4,1500
"Bendtsen, Nicholas",SO-2,Princeton,03:41.4,1500
"Godish, Benjamin",SO-2,Northeastern,03:41.5,1500
"Stallings, Zach",SR-4,Washington St.,03:41.5,1500
"Givens, Isaiah",FR-1,Colorado,03:41.5,1500
"Porter, Wes",JR-3,Virginia,03:41.5,1500
"Hackett, Damian",SO-2,Cornell,03:41.5,1500
"Petruno, John",SR-4,Michigan State,03:41.6,1500
"Murphy, Max",SO-2,Iowa,03:41.6,1500
"Dilcher, Damien",SO-2,Iona,03:41.7,1500
"Clayton, Jason",SO-2,Loyola (Ill.),03:41.8,1500
"Ackley, Daelen",FR-1,Notre Dame,03:41.8,1500
"Eliason, Jack",JR-3,Virginia,03:41.9,1500
"Herrmann, Lorenz",JR-3,Idaho,03:41.9,1500
"Esposito, Alec",JR-3,Charlotte,03:41.9,1500
"Lopez Segura, Antonio",SR-4,Virginia Tech,03:41.9,1500
"Keehan, Michael",JR-3,Penn,03:42.0,1500
"Gillen, Toby",SO-2,Saint Louis,03:42.0,1500
"Gouyette, Mael",SR-4,Iona,03:42.0,1500
"Soca, Valentin",SO-2,CBU,03:42.1,1500
"Hengst, Dalton",SR-4,Ole Miss,03:42.1,1500
"Carrozza, Crayton",JR-3,Texas,03:42.1,1500
"Nagel, Ben",SR-4,Virginia Tech,03:42.2,1500
"Green, Nathan",SO-2,Washington,03:42.2,1500
"Schoppe, Ryan",JR-3,Oklahoma State,03:42.2,1500
"Anderson, Canaan",SO-2,Tennessee,03:42.3,1500
"Addison, Evan",JR-3,Villanova,03:42.3,1500
"Shearer, Ben",FR-1,Arkansas,03:42.4,1500
"Comber, Devon",FR-1,Villanova,03:42.4,1500
"Pancake, Devin",SR-4,Utah State,03:42.5,1500
