Athlete Name,Year,Team,Time,Event
"Orogot, Tarsis",SO-2,Alabama,19.6,200
"Gregory, Robert",SO-2,Florida,19.78,200
"Onwuzurike, Udodi",SO-2,Stanford,19.91,200
"Miller, Cameron",SO-2,Louisville,19.93,200
"Maswanganyi, Shaun",JR-3,Houston,19.99,200
"Lindsey, Courtney",SR-4,Texas Tech,20.01,200
"Jones, Terrence",JR-3,Texas Tech,20.05,200
"Kresley, Austin",JR-3,Iowa,20.07,200
"Harding, Javonte",JR-3,Tennessee,20.12,200
"Patterson, Jacory",SR-4,Florida,20.13,200
"Curry , Jeremiah",SR-4,Arizona State,20.15,200
"Akintola, Alaba",SR-4,Mid. Tenn. State,20.16,200
"Burris, Royal",JR-3,East Carolina,20.2,200
"Fleming, Da'Marcus",JR-3,LSU,20.22,200
"Rose, Cameron",JR-3,Clemson,20.25,200
"Boling, Matthew",JR-3,Georgia,20.26,200
"Dunlap, David",SR-4,Northern Arizona,20.28,200
"Alexander, Dominique",JR-3,Campbell,20.29,200
"Willis, Amir",SR-4,Florida State,20.3,200
"Lightner , Kennedy",JR-3,Kentucky,20.32,200
"Smith, J.T",SR-4,TAMU-Commerce,20.32,200
"Godwin, Elija",SR-4,Georgia,20.33,200
"Miller, Jamel",SR-4,Campbell,20.37,200
"Kone, Ismael",SR-4,Florida State,20.37,200
"Yancy, Dominick",SR-4,Texas State,20.38,200
"Bamidele, Emmanuel",SO-2,Florida,20.39,200
"Crump, Cameron",SR-4,Miss State,20.4,200
"Camel, Dorian",SR-4,LSU,20.41,200
"McCoy, Wanya",SO-2,Clemson,20.41,200
"Balthazar, Chris",SR-4,Columbia,20.41,200
"Joseph, Michael",JR-3,Kansas,20.41,200
"Francis, Demar",JR-3,Baylor,20.43,200
"Clarke, Matthew",SR-4,Alabama State,20.43,200
"Hosten, Carlon",JR-3,Minnesota,20.43,200
"White-Austin, Trayvion",JR-3,Arizona,20.44,200
"Chabot, Brice",SO-2,UTSA,20.44,200
"Green, Nigel",SR-4,Tennessee,20.44,200
"Augustine, Devin",SO-2,Minnesota,20.45,200
"Benson II, James",JR-3,Arkansas,20.46,200
"Robinson , Justin",SO-2,Arizona State,20.47,200
"Simpson, Kaleb",JR-3,Eastern Michigan,20.47,200
"Beck, Cole",SR-4,Virginia Tech,20.48,200
"Miller , Evan",SR-4,South Carolina,20.48,200
"Buntin, Nadale",SR-4,Rutgers,20.49,200
"Clayton, Adam",SR-4,Texas Tech,20.49,200
"Reid, Shevioe",JR-3,South Florida,20.5,200
"Willie, Ryan",JR-3,Florida,20.51,200
"Bynum, Emmanuel",JR-3,Tennessee,20.51,200
"Trousil, Isaiah",SR-4,Northern Iowa,20.52,200
"Rutledge, John",FR-1,Texas,20.52,200
"Jackson, Kamden",JR-3,Baylor,20.53,200
"Edwin, Delan",SR-4,TAMU-Commerce,20.54,200
"Reed, Gratt",JR-3,Iowa,20.54,200
"Tabois, Jadyn",JR-3,Iona,20.55,200
"Shelvin, Nolton",SO-2,Texas,20.57,200
"Cole, Kai",JR-3,Norfolk State,20.58,200
"Lang, Lance",JR-3,Arkansas,20.58,200
"McClinton, Donald",SR-4,Liberty,20.58,200
"Feagin, Denzell",SR-4,Florida State,20.58,200
"Hodrick, Asa",SR-4,Kent State,20.58,200
"Allen, Ashton",JR-3,USC,20.59,200
"Miller, Brandon",SO-2,Kentucky,20.6,200
"Bour, Josh",SO-2,Oklahoma,20.61,200
"Walker, Jeremiah",FR-1,San Jose St.,20.61,200
"Washington, Connor",SO-2,Arkansas,20.61,200
"Collins, Shawn",SR-4,Jackson State,20.61,200
"Becker, Justin",SR-4,Purdue,20.62,200
"Raines, Justin",SO-2,Tarleton State,20.62,200
"Okonkwo, Matthew",SR-4,USC,20.62,200
"Anunagba, Karlington",SR-4,North Texas,20.62,200
"Teer, Isaiah",SO-2,Texas A&M,20.63,200
"Sancho, Jamie",FR-1,Louisiana Tech,20.64,200
"Moore, Marcellus",JR-3,Texas,20.64,200
"Ward, Lance",SO-2,Harvard,20.65,200
"Moorer, Matthew",SR-4,Baylor,20.65,200
"Marshall, Jack",JR-3,Abilene Christian,20.67,200
"Smith, Victor",JR-3,Alabama State,20.67,200
"Thorogood, Trei",SO-2,Syracuse,20.69,200
"Maketa, Simbarashe",JR-3,TCU,20.69,200
"Benjamin, Kion",JR-3,Minnesota,20.7,200
"Kelly, Taahir",SR-4,Texas State,20.7,200
"Allen, Damoy",JR-3,Iowa,20.7,200
"Draper, Dallin",SO-2,BYU,20.7,200
"Kaalund, Garrett",FR-1,Nebraska,20.7,200
"Misener-Daley, Myles",JR-3,UCLA,20.71,200
"Hayles, Reheem",SO-2,N. Carolina A&T,20.71,200
"Daniel, Ashton",SR-4,Howard,20.71,200
"Popelka, Logan",FR-1,Boston University,20.72,200
"Ayorinde, Ibrahim",SR-4,Princeton,20.72,200
"Oghenebrume, Godson",SO-2,LSU,20.72,200
"Wulff, Simon",SO-2,Northwestern St.,20.73,200
"Swain, Canman",SR-4,Northwestern St.,20.73,200
"Brown, Erin",JR-3,Grand Canyon,20.73,200
"Trainer, Justus",SR-4,Alabama State,20.73,200
"Robinson, Callum",JR-3,Eastern Michigan,20.73,200
"Pierre, Bervensky",SR-4,Texas State,20.73,200
"Tarver, Cameron",FR-1,San Jose St.,20.74,200
"Harrison, Kennedy",JR-3,Virginia Tech,20.74,200
"Lincoln IV, Judson",FR-1,Virginia Tech,20.74,200
"Greenhow, Anthony",SO-2,South Carolina,20.75,200
