Athlete Name,Year,Team,Time,Event
"Fay, Brian",SR-4,Washington,13:22.0,5000
"Blanks, Graham",SO-2,Harvard,13:24.9,5000
"Wolfe, Parker",SO-2,North Carolina,13:25.4,5000
"Camerieri, Anthony",SR-4,Ole Miss,13:26.6,5000
"Facioni, Zach",SR-4,Wake Forest,13:27.7,5000
"Liking, Bob",JR-3,Wisconsin,13:27.9,5000
"Gibbens, Chandler",JR-3,Kansas,13:28.7,5000
"Quax, Theo",JR-3,Northern Arizona,13:29.4,5000
"Robinson, Ky",JR-3,Stanford,13:29.4,5000
"Sharp, Jackson",JR-3,Wisconsin,13:29.8,5000
"Young, Nico",JR-3,Northern Arizona,13:30.4,5000
"Gilman, Sam",SR-4,Air Force,13:30.4,5000
"Beattie, Scott",SR-4,Tulsa,13:30.6,5000
"Soca, Valentin",SO-2,CBU,13:30.7,5000
"Hamilton, Duncan",SR-4,Montana State,13:31.1,5000
"Strangio, Matt",SO-2,Portland,13:31.9,5000
"Nokes, Joey",SO-2,BYU,13:32.0,5000
"Knight, Haftu",JR-3,Texas,13:32.2,5000
"Mwaura, James",SR-4,Gonzaga,13:32.9,5000
"Hicks, Charles",JR-3,Stanford,13:33.3,5000
"Mackinnon, Perry",SR-4,Cornell,13:33.8,5000
"Thompson, Creed",SO-2,BYU,13:34.5,5000
"Yego, Kirami",JR-3,South Alabama,13:34.5,5000
"Bendtsen, Nicholas",SO-2,Princeton,13:35.1,5000
"Gillen, Toby",SO-2,Saint Louis,13:35.3,5000
"Bedard, Simon",SR-4,Butler,13:35.9,5000
"Garnica, Brandon",SR-4,BYU,13:36.6,5000
"Brady, Tom",SR-4,Michigan,13:36.8,5000
"Jacobs, Dylan",SR-4,Tennessee,13:36.9,5000
"Schoppe, Ryan",JR-3,Oklahoma State,13:37.1,5000
"Sweeney, Charlie",SR-4,Colorado,13:37.5,5000
"Gebhardt, Jake",JR-3,Indiana,13:37.7,5000
"Bosley, Drew",SO-2,Northern Arizona,13:37.8,5000
"Mullarkey, David",SO-2,Florida State,13:37.9,5000
"Carey, Noah",SR-4,Syracuse,13:38.2,5000
"Principe, DJ",SR-4,Providence,13:38.5,5000
"Perrin, Ben",JR-3,Montana State,13:39.5,5000
"Cheruiyot, Hillary",SO-2,Alabama,13:39.5,5000
"Masai, Brian",FR-1,Akron,13:39.6,5000
"Murphy, Max",SO-2,Iowa,13:39.8,5000
"Sieperda, Gable",JR-3,Iowa State,13:40.0,5000
"Dalton, Cormac",SR-4,Tulsa,13:40.1,5000
"Smith, Wil",SO-2,Gonzaga,13:40.4,5000
"Kiprop, Victor",SO-2,Alabama,13:40.4,5000
"Wilkinson, Matthew",SR-4,Minnesota,13:40.7,5000
"Godish, Benjamin",SO-2,Northeastern,13:41.2,5000
"Alonzo, Isaac",SO-2,Texas,13:41.4,5000
"Iverson, Acer",JR-3,Harvard,13:41.5,5000
"Rocha, Marcelo",SR-4,Providence,13:41.8,5000
"Nyoak, Kang",JR-3,Northern Arizona,13:42.2,5000
"Magnusson, Baldvin",SR-4,Eastern Michigan,13:42.3,5000
"Casarez, Eric",JR-3,Texas A&M,13:42.6,5000
"Bennett, Eli",JR-3,Air Force,13:42.7,5000
"Sahlman, Colin",FR-1,Northern Arizona,13:43.0,5000
"Mulcaire, Kevin",SR-4,New Mexico,13:43.0,5000
"Winders, Titus",SR-4,Iowa State,13:43.0,5000
"O'Donnell, Paul",SR-4,Syracuse,13:43.3,5000
"Murphy, Liam",SO-2,Villanova,13:43.3,5000
"Schreml, Elias",SO-2,Arkansas,13:43.8,5000
"Abdalla, Yaseen",JR-3,Tennessee,13:44.2,5000
"Laadjel, Abdel",FR-1,Providence,13:44.3,5000
"Reynaga, Matias",SO-2,CBU,13:44.6,5000
"Burke, Evan",JR-3,Stanford,13:44.7,5000
"Clinger, Casey",JR-3,BYU,13:44.7,5000
"DiDonato, Robert",SO-2,Stanford,13:44.9,5000
"Phillips, Josh",SR-4,Villanova,13:44.9,5000
"Corrigan, James",FR-1,BYU,13:45.0,5000
"Johnson, Derek",JR-3,Virginia,13:45.5,5000
"Strintzos, Haftu",JR-3,Villanova,13:45.7,5000
"Russell, Nicholas",JR-3,Santa Clara,13:45.7,5000
"Gertsen, Jonas",SO-2,Portland,13:46.4,5000
"Valincius, Giedrius",JR-3,CBU,13:46.8,5000
"Maison, Sean",JR-3,Air Force,13:46.8,5000
"Strand, Ethan",FR-1,North Carolina,13:46.8,5000
"Tewalt, Luke",SO-2,Wake Forest,13:47.0,5000
"Keane, Barry",SR-4,Butler,13:47.0,5000
"Eliason, Jack",JR-3,Virginia,13:47.1,5000
"Zegarski, William",FR-1,Butler,13:47.1,5000
"Ricketts, Christian",SR-4,CBU,13:47.4,5000
"McEvoy, Shay",SO-2,Tulsa,13:47.4,5000
"Solomon, Carter",SO-2,Notre Dame,13:47.5,5000
"Lopez Segura, Antonio",SR-4,Virginia Tech,13:47.5,5000
"Stallings, Zach",SR-4,Washington St.,13:47.6,5000
"Abouzouhir, Abdelhakim",JR-3,Eastern Kentucky,13:47.7,5000
"Kirk, Zak",SR-4,Portland,13:47.8,5000
"White, Jacob",FR-1,Wyoming,13:47.8,5000
"Scudder, Nickolas",JR-3,Charlotte,13:47.9,5000
"Dee, Jamie",SR-4,Iona,13:48.0,5000
"Allen, Christian",JR-3,BYU,13:48.0,5000
"Mountain, Nathan",SO-2,Virginia,13:48.3,5000
"Rankin, Matt",JR-3,Iona,13:48.4,5000
"Henderson, Nathan",SR-4,Syracuse,13:48.4,5000
"Kiprop, Patrick",JR-3,Arkansas,13:48.5,5000
"Kawalec, Nate",JR-3,Tennessee,13:48.7,5000
"Throop, Dylan",SO-2,Penn,13:49.1,5000
"Aljabaly, Shuaib",JR-3,Tulsa,13:49.3,5000
"Nelson, Spencer",JR-3,Utah State,13:49.4,5000
"Shields, Jonathan",SR-4,Boise State,13:49.7,5000
"Grundvig, Luke",FR-1,BYU,13:49.8,5000
"Overberg, James",FR-1,Colorado,13:49.8,5000
